|-----------------------------|--------------|
| image_id                    | label        |
|-----------------------------|--------------|
| norm1657012168831039560.png | misalignment |
|-----------------------------|--------------|
| norm1657012169061665669.png | misalignment |
|-----------------------------|--------------|
| norm1657012169297282639.png | misalignment |
|-----------------------------|--------------|
| norm1657012169531522469.png | misalignment |
|-----------------------------|--------------|
| norm1657012169764165350.png | misalignment |
|-----------------------------|--------------|
| norm1657012170002460438.png | misalignment |
|-----------------------------|--------------|
| norm1657012170236679523.png | misalignment |
|-----------------------------|--------------|
| norm1657012170475121204.png | misalignment |
|-----------------------------|--------------|
| norm1657012170706449216.png | misalignment |
|-----------------------------|--------------|
| norm1657012170940485824.png | misalignment |
|-----------------------------|--------------|
| norm1657012171176002541.png | misalignment |
|-----------------------------|--------------|
| norm1657012171409515457.png | misalignment |
|-----------------------------|--------------|
| norm1657012171646234639.png | misalignment |
|-----------------------------|--------------|
| norm1657012171875416759.png | misalignment |
|-----------------------------|--------------|
| norm1657012172110050994.png | misalignment |
|-----------------------------|--------------|
| norm1657012172341218944.png | misalignment |
|-----------------------------|--------------|
| norm1657012172562562217.png | misalignment |
|-----------------------------|--------------|
| norm1657012172791047277.png | misalignment |
|-----------------------------|--------------|
| norm1657012173021155799.png | misalignment |
|-----------------------------|--------------|
| norm1657012173252828417.png | misalignment |
|-----------------------------|--------------|
| norm1657012173486952244.png | misalignment |
|-----------------------------|--------------|
| norm1657012173718634459.png | misalignment |
|-----------------------------|--------------|
| norm1657012173948565921.png | misalignment |
|-----------------------------|--------------|
| norm1657012174180380661.png | misalignment |
|-----------------------------|--------------|
| norm1657012174411582677.png | misalignment |
|-----------------------------|--------------|
| norm1657012174645503756.png | misalignment |
|-----------------------------|--------------|
| norm1657012174877101562.png | misalignment |
|-----------------------------|--------------|
| norm1657012175105713334.png | misalignment |
|-----------------------------|--------------|
| norm1657012175338119834.png | misalignment |
|-----------------------------|--------------|
| norm1657012175566414725.png | misalignment |
|-----------------------------|--------------|
| norm1657012175796988709.png | misalignment |
|-----------------------------|--------------|
| norm1657012176027889054.png | misalignment |
|-----------------------------|--------------|
| norm1657012176253722092.png | misalignment |
|-----------------------------|--------------|
| norm1657012176485806194.png | misalignment |
|-----------------------------|--------------|
| norm1657012176718382368.png | misalignment |
|-----------------------------|--------------|
| norm1657012176951837327.png | misalignment |
|-----------------------------|--------------|
| norm1657012177183402211.png | misalignment |
|-----------------------------|--------------|
| norm1657012177413751423.png | misalignment |
|-----------------------------|--------------|
| norm1657012177649885873.png | misalignment |
|-----------------------------|--------------|
| norm1657012177880614302.png | misalignment |
|-----------------------------|--------------|
| norm1657012178109461650.png | misalignment |
|-----------------------------|--------------|
| norm1657012178343476717.png | misalignment |
|-----------------------------|--------------|
| norm1657012178577917774.png | misalignment |
|-----------------------------|--------------|
| norm1657012178811101878.png | misalignment |
|-----------------------------|--------------|
| norm1657012179042341314.png | misalignment |
|-----------------------------|--------------|
| norm1657012179273382317.png | misalignment |
|-----------------------------|--------------|
| norm1657012179507542442.png | misalignment |
|-----------------------------|--------------|
| norm1657012179735957798.png | misalignment |
|-----------------------------|--------------|
| norm1657012179965388033.png | misalignment |
|-----------------------------|--------------|
| norm1657012180196026911.png | misalignment |
|-----------------------------|--------------|
| norm1657012180431890419.png | misalignment |
|-----------------------------|--------------|
| norm1657012180668438242.png | misalignment |
|-----------------------------|--------------|
| norm1657012180902495188.png | misalignment |
|-----------------------------|--------------|
| norm1657012181132236229.png | misalignment |
|-----------------------------|--------------|
| norm1657012181362820068.png | misalignment |
|-----------------------------|--------------|
| norm1657012181597664965.png | misalignment |
|-----------------------------|--------------|
| norm1657012181831625068.png | misalignment |
|-----------------------------|--------------|
| norm1657012182060506109.png | misalignment |
|-----------------------------|--------------|
| norm1657012182289435782.png | misalignment |
|-----------------------------|--------------|
| norm1657012182525057020.png | misalignment |
|-----------------------------|--------------|
| norm1657012182750985474.png | misalignment |
|-----------------------------|--------------|
| norm1657012182985892321.png | misalignment |
|-----------------------------|--------------|
| norm1657012183218483649.png | misalignment |
